gvkey,fyear,Hole_opening,Hole_closing,Non_hole
1154,1998,-0.3054431,-0.5854472,-0.5020298
1154,2002,-0.5189671,-0.7558787,-0.5102329
1161,1996,-0.085932,0.0383535,-0.1875021
1161,1998,-0.5269777,-0.636981,-0.3807044
1161,2001,-0.6136622,-0.581965,-0.2452608
1161,2002,-0.5011619,-0.2777081,0.0836903
1161,2003,-0.5692312,-0.419457,0.0373315
1161,2004,-0.5160404,-0.428282,-0.0539996
1161,2005,-0.5598815,-0.7171407,-0.2070963
1161,2006,-0.5387994,-0.4238839,0.0514588
1161,2007,-0.515031,-0.3649169,-0.085343
1161,2008,-0.5070745,-0.2186866,-0.0511713
1161,2009,-0.4300374,0.0441321,-0.0176327
1161,2010,-0.5599465,-0.3353249,-0.1078713
1161,2011,-0.5613336,-0.4779577,-0.1947356
1161,2012,-0.5641551,-0.666138,-0.2264891
1161,2013,-0.5721514,-0.6739239,-0.1890839
1161,2014,-0.4597872,-0.4515834,-0.1713035
1161,2015,-0.3546626,-0.4630068,-0.1884986
1161,2016,-0.4475493,0.0747313,-0.2349807
1161,2017,0.147495,-0.4782287,-0.3562159
1161,2018,-0.4726023,-0.5230197,-0.4188054
1161,2019,0.316075,-0.1502482,-0.4165228
1161,2020,0.0458067,0.1216134,-0.4136169
1164,1996,1.14468,-0.268808,-0.3372844
1164,1997,-0.4152775,-0.0325366,-0.0701868
1164,1998,-0.1245603,0.2208252,0.0668327
1164,1999,-0.4163646,0.6950336,0.1068563
1164,2002,-0.4006908,-0.0237811,0.0623554
1164,2003,-0.542046,0.0495682,0.0435088
1164,2004,-0.4536177,0.3200924,0.1335739
1173,1996,-0.5018966,-0.4797014,-0.4139376
1173,2004,1.614947,0.509577,-0.3891683
1173,2005,0.3592508,1.232794,-0.3654456
1173,2006,0.5959693,1.851116,-0.3819884
1173,2007,0.319513,0.4304073,-0.2982523
1173,2008,-0.3904006,0.3195585,-0.3335659
1173,2009,-0.3947864,0.4289381,-0.3154967
1173,2010,-0.2453739,0.7149997,-0.235358
1173,2011,-0.5332523,-0.0540094,-0.3247783
1173,2012,-0.0556322,0.6883264,-0.2715541
1183,1998,-0.2475028,-0.4205457,-0.2531789
1183,1999,-0.5991271,-0.4936919,-0.3414555
1183,2000,0.5833026,-0.5766539,-0.4415655
1183,2001,-0.5768691,-0.7567076,-0.4963683
1183,2002,-0.5924126,-0.7750446,-0.5111472
1183,2003,-0.5811922,-0.8262173,-0.5129942
1183,2004,-0.5652413,-0.8074929,-0.4997527
1183,2005,-0.5489205,-0.7999407,-0.5170431
1183,2006,-0.5464643,-0.7980273,-0.5079681
1183,2007,-0.5538852,-0.8077602,-0.4966328
1203,1996,-0.167287,-0.1412418,-0.3672408
1203,1997,-0.2055357,-0.5136227,-0.4876146
1203,1998,-0.0070245,-0.012257,-0.397473
1210,1996,-0.5107924,-0.4624581,-0.3980784
1210,1997,-0.2542454,-0.4676308,-0.5058994
